"OTU","AUC","abs_AUC","WaldStatistic","DF","p_value","adj_p_value"
"G000308215",-0.003,0.0031,49.3264,6,6.414e-09,1.71446795324817e-08
"G001512965",-7e-04,7e-04,62.8539,6,1.182e-11,3.94695687606112e-11
"G001421185",-0.0034,0.0034,268.6283,6,0,0
"G001421175",-0.0018,0.0018,46.554,6,2.296e-08,5.87838167143973e-08
"G000800805",-0.0021,0.0021,44.7711,6,5.197e-08,1.28604172118772e-07
"G001563305",-0.0047,0.0047,64.2347,6,6.182e-12,2.10723701906412e-11
"G001560915",-0.0046,0.0046,72.5689,6,1.213e-13,4.54597637195122e-13
"G000350305",-0.0049,0.0049,65.6389,6,3.194e-12,1.10597873239437e-11
"G001481295",-0.0056,0.0056,69.3049,6,5.677e-13,2.04796837857667e-12
"G000437835",-0.005,0.005,136.5042,6,0,0
"G000300255",-0.0052,0.0052,102.2979,6,0,0
"G001595885",2e-04,2e-04,22.1846,6,0.001121,0.00163051530838633
"G001800755",8e-04,8e-04,20.3676,6,0.002381,0.00335358837009453
"G001800745",8e-04,8e-04,70.0634,6,3.968e-13,1.44416402664693e-12
"G001800825",-4e-04,4e-04,42.0989,6,1.758e-07,4.161813192104e-07
"G001800795",7e-04,7e-04,23.289,6,0.0007053,0.00104614180995475
"G002011155",0,0,25.1714,6,0.0003174,0.00048885068128426
"G002010125",0,0,30.4118,6,3.282e-05,5.78512063093744e-05
"G002011215",-3e-04,3e-04,51.086,6,2.846e-09,7.86388423714526e-09
"G002011235",1e-04,1e-04,32.0252,6,1.614e-05,3.0348137667304e-05
"G002011315",-2e-04,2e-04,42.8844,6,1.23e-07,2.94732456140351e-07
"G002010195",-2e-04,2e-04,31.7356,6,1.834e-05,3.38251237809452e-05
"G002010215",-1e-04,1e-04,31.831,6,1.758e-05,3.25884486333648e-05
"G000025505",-2e-04,2e-04,31.7356,6,1.834e-05,3.38251237809452e-05
"G001006045",-3e-04,3e-04,6.3597,6,0.3841,0.412047496454674
"G000789255",0,0,23.8782,6,0.0005499,0.000825101708880073
"G002010285",-2e-04,2e-04,32.1376,6,1.536e-05,2.91546496815287e-05
"G002010295",-2e-04,2e-04,60.871,6,2.994e-11,9.76226657824934e-11
"G000008665",-2e-04,2e-04,32.005,6,1.628e-05,3.0535479687202e-05
"G000734035",0,0,23.6594,6,0.0006032,0.000900405100182149
"G001508745",5e-04,5e-04,28.6034,6,7.23e-05,0.000121165337423313
"G001508815",0,0,9.8721,6,0.1301,0.148595052264808
"G001508455",1e-04,1e-04,29.415,6,5.076e-05,8.6918655754832e-05
"G001940805",-0.0137,0.0137,798.9513,6,0,0
"G000430905",-6e-04,6e-04,15.3593,6,0.01764,0.0224181649004911
"G001602685",-0.0047,0.0047,94.916,6,0,0
"G000015765",-0.0012,0.0012,27.4134,6,0.0001211,0.00019710317775571
"G001602695",-0.0075,0.0075,148.8714,6,0,0
"G000013445",-3e-04,3e-04,39.678,6,5.269e-07,1.19583074082622e-06
"G001412355",-8e-04,8e-04,14.7028,6,0.0227,0.0284335498662591
"G001315945",-0.001,0.001,33.3403,6,9.018e-06,1.79847925370107e-05
"G000711215",0.0016,0.0017,22.0876,6,0.001167,0.00169391557195572
"G000243255",-2e-04,2e-04,53.3613,6,9.923e-10,2.85998774912075e-09
"G000147875",-0.001,0.001,23.8141,6,0.000565,0.000846596068870943
"G000784355",-9e-04,9e-04,35.1221,6,4.081e-06,8.4578617492097e-06
"G000021965",-2e-04,2e-04,13.4293,6,0.0367,0.0448946137579301
"G000235685",6e-04,6e-04,5.6378,6,0.465,0.493238054147341
"G000017625",-6e-04,6e-04,35.0325,6,4.247e-06,8.78153868797309e-06
"G000327485",-0.003,0.003,135.5028,6,0,0
"G000275865",-0.0028,0.0028,31.0937,6,2.433e-05,4.39818419117647e-05
"G001571385",-8e-04,8e-04,3.1689,6,0.7874,0.80751815622067
"G001896715",-0.0016,0.0016,36.9474,6,1.803e-06,3.87725825497485e-06
"G900079125",-0.0022,0.0022,77.7834,6,1.021e-14,4.07488392857143e-14
"G000304355",-0.0021,0.0021,47.1326,6,1.761e-08,4.55728263157895e-08
"G001512375",-4e-04,4e-04,18.6245,6,0.004847,0.00657635182119205
"G900025055",-4e-04,4e-04,49.016,6,7.401e-09,1.96812963764197e-08
"G001512385",-0.0018,0.0018,32.3917,6,1.373e-05,2.6710350148368e-05
"G001571405",-0.0011,0.0011,64.7542,6,4.842e-12,1.66199748691099e-11
"G001509255",-5e-04,5e-04,20.5435,6,0.002215,0.00312964224137931
"G001508665",-1e-04,1e-04,20.2037,6,0.002547,0.00357408647260274
"G001315965",-5e-04,5e-04,10.1177,6,0.1198,0.137485494223363
"G001017125",-0.0019,0.0019,14.2996,6,0.02646,0.0329168425047438
"G000691865",-0.0014,0.0014,23.7107,6,0.0005903,0.000881952324521422
"G000015825",-0.0015,0.0015,15.7479,6,0.01517,0.0194247109375
"G001766825",4e-04,4e-04,32.4834,6,1.318e-05,2.57934567164179e-05
"G001766815",1e-04,1e-04,28.1752,6,8.709e-05,0.000144352445643014
"G000063445",7e-04,7e-04,48.4722,6,9.508e-09,2.51348580645161e-08
"G000251105",-5e-04,5e-04,18.1982,6,0.005755,0.00773573947512302
"G000011005",0,0,1.8207,6,0.9354,0.945981447963801
"G002010075",0,0,30.7526,6,2.826e-05,5.03458043478261e-05
"G000711905",-3e-04,3e-04,19.5592,6,0.003316,0.00459289352112676
"G001508185",7e-04,7e-04,49.8296,6,5.086e-09,1.37405835164835e-08
"G001507975",-3e-04,3e-04,32.1656,6,1.517e-05,2.8888803253292e-05
"G001603205",-0.0099,0.0099,418.1905,6,0,0
"G001603225",-0.0086,0.0086,158.1272,6,0,0
"G000204415",-9e-04,9e-04,22.7332,6,0.000891,0.00131012171052632
"G000235565",-9e-04,9e-04,15.1239,6,0.01931,0.024401765612953
"G001602645",1e-04,2e-04,1.8349,6,0.9342,0.94505943832939
"G001509375",-6e-04,6e-04,18.3955,6,0.005316,0.00717802334202938
"G001508615",0,0,21.286,6,0.00163,0.0023308739275847
"G001317315",-2e-04,2e-04,11.9839,6,0.06233,0.0741625190562613
"G000685155",1e-04,1e-04,14.7887,6,0.02197,0.0275788843502681
"G000196655",1e-04,1e-04,13.3505,6,0.0378,0.0461655737704918
"G000217995",0,0,12.4647,6,0.05237,0.0628977259404006
"G001896725",3e-04,3e-04,13.7252,6,0.03286,0.040393155
"G000328665",-1e-04,1e-04,0.1929,6,0.9999,1
"G001577565",8e-04,8e-04,62.9966,6,1.106e-11,3.70071588975842e-11
"G000306725",-1e-04,1e-04,8.2553,6,0.22,0.243717472118959
"G900114835",5e-04,5e-04,61.4415,6,2.292e-11,7.51568122707569e-11
"G900100715",-7e-04,7e-04,23,6,0.0007965,0.00117468221355729
"G000504205",-2e-04,2e-04,4.5382,6,0.6042,0.630954953806945
"G000013725",0,0,35.0232,6,4.265e-06,8.81505044136192e-06
"G000970325",-6e-04,6e-04,36.5458,6,2.159e-06,4.60755338541667e-06
"G000765475",-4e-04,4e-04,46.9114,6,1.949e-08,5.01871327572663e-08
"G900111645",6e-04,6e-04,44.0156,6,7.34e-08,1.78977336969998e-07
"G000025865",1e-04,1e-04,47.5676,6,1.442e-08,3.76443535970268e-08
"G001889405",3e-04,3e-04,32.3341,6,1.408e-05,2.73317647058824e-05
"G001888095",6e-04,6e-04,63.1366,6,1.035e-11,3.47378498293515e-11
"G001683555",4e-04,4e-04,32.9887,6,1.054e-05,2.08426221596622e-05
"G001577555",-1e-04,1e-04,10.8852,6,0.09199,0.107209013984356
"G000970045",-6e-04,6e-04,23.7345,6,0.0005844,0.000873801064315037
"G001714685",-0.0043,0.0043,55.6475,6,3.43e-10,1.02711997563946e-09
"G001304615",4e-04,4e-04,15.0494,6,0.01988,0.0250801693393201
"G000969885",7e-04,7e-04,54.6273,6,5.512e-10,1.62144804068202e-09
"G000970305",-5e-04,5e-04,22.7043,6,0.0009018,0.00132501138502913
"G000969945",-3e-04,3e-04,16.5875,6,0.01093,0.0142421650987147
"G000969905",2e-04,2e-04,56.4411,6,2.37e-10,7.15584280012281e-10
"G000969985",0,0,26.356,6,0.0001911,0.00030262115942029
"G000195895",1e-04,1e-04,32.1159,6,1.55e-05,2.93750240894199e-05
"G001027005",-2e-04,2e-04,32.2708,6,1.448e-05,2.78716617733412e-05
"G000970025",6e-04,6e-04,32.8169,6,1.137e-05,2.24073306613226e-05
"G001729375",-1e-04,1e-04,33.1298,6,9.9e-06,1.9660056542811e-05
"G000970005",-7e-04,7e-04,40.6853,6,3.34e-07,7.71747180451128e-07
"G000969965",2e-04,2e-04,24.8806,6,0.0003593,0.000548913500077676
"G000979455",-6e-04,6e-04,10.8359,6,0.09358,0.108855656493967
"G000970265",2e-04,2e-04,9.7298,6,0.1365,0.155525547445255
